#,Procedimiento,"Nombre o razón social del proveedor",Ejercicio,Trimestre,"Sujeto obligado contratante","Sujeto obligado solicitante","Número de contrato","Objeto del contrato",Descripción,"Fundamento jurídico","Fecha de celebración","Fecha de inicio","Fecha de término","Monto original de contrato","Archivo del contrato en PDF","Área responsable de la información","Fecha de validación",Año,"Fecha de actualización",Nota,Estatus,"Monto modificado","Monto total","Monto pagado a la fecha"
1,"Licitación pública","María Isabel Arvide Limón",2015,"2o Trimestre (Abril-Junio)",,*prueba,"Sin contrato","Sin contrato","Sin contrato","Sin contrato",,,,"$ 0.00",Ciclo_de_Vida_Proyectos.pdf,,,,,,Activo,$0.00,"$ 0.00","$ 0.00"
12,"Adjudicación directa","Pedro Celestino Canche Herrera",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",0008/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",,,,"$ 100,000.12",0008-2016_PEDRO_CELESTINO_CANCHE_HERRERA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 100,000.12","$ 100,000.12"
13,"Adjudicación directa","Talina y Jonathan S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",0010/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",,,,"$ 348,000.00",0010-2016_TALINA_Y_JONATHANN_SA_DE_CV-FRANCISCO_JOSE_CERVERA_FERNANDEZ.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 348,000.00","$ 348,000.00"
14,"Adjudicación directa","Grupo Informático Cancun Caribe  SA de CV",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",014/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 9,405,405.54",014-ORGANIZACION_EDITORIAL_DEL_CARIBE-JOSE_ALBERTO_GOMEZ_ALVAREZ.pdf,"Direccion Administrativa/UV",,2016,,,Activo,$0.00,"$ 9,405,405.54","$ 9,405,407.40"
15,"Adjudicación directa","Grupo Informático Cancun Caribe  SA de CV",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",015/2016,"Cobertura Publicitaria del Gobierno del Estado.","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.o","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 9,405,405.54",015-ORGANIZACION_EDITORIAL_DEL_CARIBE-JOSE_ALBERTO_GOMEZ_ALVAREZ.pdf,"Direccion Administrativa/UV",,2016,,,Activo,$0.00,"$ 9,405,405.54","$ 9,405,407.40"
16,"Adjudicación directa","Grupo Informático Cancun Caribe  SA de CV",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",016/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 313,200.00",016-ORGANIZACION_EDITORIAL_DEL_CARIBE-JOSE_ALBERTO_GOMEZ_ALVAREZ.pdf,"Direccion Administrativa/UV",,2016,,  ,Activo,$0.00,"$ 313,200.00","$ 313,200.00"
17,"Adjudicación directa","Render Digital Solutions S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",104/2016,"Cobertura de  Propaganda Televisica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 3,132,000.00",104._RENDER_DIGITAL_SOLUTIONS_S.A._DE_C.V._-SAUL_PENA_ARELLANO.pdf,"Direccion Administrativa/UV",,2016,,,Activo,$0.00,"$ 3,132,000.00","$ 3,132,000.00"
18,"Adjudicación directa","Render Digital Solutions S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",105/2016,"Cobertura de  Propaganda Televisica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 3,132,000.00",105._RENDER_DIGITAL_SOLUTIONS_S.A._DE_C.V._-_SAUL_PENA_ARELLANO.pdf,"Direccion Administrativa/UV",,2016,,,Activo,$0.00,"$ 3,132,000.00","$ 3,132,000.00"
19,"Adjudicación directa","Juan Pablo Peraza Cárdenas",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",054/2016,"Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 551,448.00",054._JUAN_PABLO_PERAZA_CARDENAS.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 551,448.00","$ 551,448.00"
20,"Adjudicación directa","Tv Azteca  S.A.B. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",0001/2016,"Cobertura publicitaria al Gobierno del Estado de Quintana Roo a través de diferentes medios de comunicación a solicitud de ?El Gobierno?","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",,,,"$ 5,800,000.00",0001-2016_TV_AZTECA_SA_B_DE_CV.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 5,800,000.00","$ 5,800,000.00"
21,"Adjudicación directa","Circulo Operativo de Servicios Administrativos S. A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",152/2016,"Cobertura de propaganda televisiva","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 2,000,000.00",152-Circulo_Operativo_de_Servicios_Administrativos_S.A_de_S.V.-Mauricio_Ignacio_Burgoa_Dominguez.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 2,000,000.00","$ 2,000,000.00"
22,"Adjudicación directa","Lorenzo Pacheco González",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",070/2016,"Cobertura periodística y editoriales de las actividades de Gobierno del Estado.","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 656,538.03",070._LORENZO_PACHECO_GONZALEZ.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 656,538.03","$ 656,538.03"
23,"Adjudicación directa","Pauco S. de R.L. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",198/2016,"Cobertura Publicitaria de las actividades del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 675,000.00",198-PAUCO_SA_DE_CV.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 675,000.00","$ 675,000.00"
24,"Adjudicación directa","María Isabel Arvide Limón",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",001/2016,"Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",,,,"$ 1,666,224.00",001_Maria_Isabel_362mqpvyz8w04.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 1,666,224.00","$ 1,666,224.00"
25,"Adjudicación directa","Xlalibre Multimedios S. de RL.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",053/2016,"Cobertura Publicitaria del Gobierno del Estado","Difundir Actividades del Gobierno del Estado","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 417,600.00",053-XLALIBRE_SA_DE_CV.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 417,600.00","$ 417,600.00"
26,"Adjudicación directa","Silvia Guadalupe Peraza Azueta",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",055/2016,"Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 720,000.00",055._SILVIA_GUADALUPE_PERAZA_AZUETA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 720,000.00","$ 720,000.00"
27,"Adjudicación directa","Rita Iliana Bacab Chavarria",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",175/2016,"Cobertura Publicitaria del Gobierno del Estadoo","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 875,471.68",175_RITA_BACB_CHAVARRIA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 875,471.68","$ 875,471.68"
28,"Adjudicación directa","Manuel Jesus Villanueva Enriquez",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",056/2016,"Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 221,056.56",056-MANUEL_JESUS_VILLANUEVA_ENRIQUEZ.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 221,056.56","$ 221,056.56"
29,"Adjudicación directa","Esther Gomez Orozco",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",176/2016,"Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 162,400.00",176_ESTHER_GOMEZ.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 162,400.00","$ 162,400.00"
30,"Adjudicación directa","Nicolas Lizama Lizama",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",057/2016,"Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 331,584.90",057-Nicolas_Lizama_Lizama.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 331,584.90","$ 331,584.90"
31,"Adjudicación directa","La Crónica Diaria S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo",177/2016,"Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",,,,"$ 406,000.00",177_LA_CRONICA_DIARIA.pdf,"Dirección Administrativa/UV",,2016,,,Activo,$0.00,"$ 406,000.00","$ 406,000.00"
