#,"Número de factura",Proveedor,Contrato,Orden,Ejercicio,Trimestre,Monto,"Archivo factura en PDF (Vínculo al archivo)","Archivo factura en XML (Vínculo al archivo)","Fecha de erogación",Estatus
17,005/diciembre,"Jesús Cruz Martínez",067/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",6660.00,,,2016-12-31,Activo
18,072/noviembre,"Telecable de Tulum  S.A. de C.V.",191/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",111000.01,,,2016-11-30,Activo
19,073/diciembre,"Telecable de Tulum  S.A. de C.V.",191/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",111000.01,,,2016-12-31,Activo
20,235/diciembre,"Promocenter Comunicación S.A. de C.V.",0002/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",348000.00,,,2016-12-31,Activo
21,44853/noviembre,"Novedades de Quintana Roo S.A. de C.V.",0003/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",2875073.00,,,2016-11-30,Activo
22,45380/diciembre,"Novedades de Quintana Roo S.A. de C.V.",0003/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",2875073.00,,,2016-12-31,Activo
23,04654/diciembre,"Crea Actividad Vera S.A. de C.V.",0005/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",348000.00,,,2016-12-31,Activo
24,0268/diciembre,"Editora de Medios Mapa S.A. de C.V",0006/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",1392000.00,,,2016-12-31,Activo
25,0139/diciembre,"Pedro Celestino Canche Herrera",0008/2016,"Sin orden de compra",2016,"4o Trimestre (Octubre-Diciembre)",50000.06,,,2016-12-31,Activo
26,"Enero 143 y 144","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",185136.00,,,2016-01-31,Activo
27,"febrero 147 y 153","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",185136.00,,,2016-02-29,Activo
28,"marzo 148 y 154","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",185136.00,,,2016-03-31,Activo
29,"abril 149 y 155","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",185136.00,,,2016-04-30,Activo
30,"mayo 150 y 156","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",185136.00,,,2016-05-31,Activo
31,"junio 151 y 157","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",185136.00,,,2016-06-30,Activo
32,"julio 152 y 158","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",185136.00,,,2016-07-31,Activo
33,"agosto 170 y 169","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",185136.00,,,2016-08-31,Activo
34,"septiembre 180 y 179","María Isabel Arvide Limón",001/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",185136.00,,,2016-09-30,Activo
35,"ENERO 3549","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1881081.08,,,2016-01-31,Activo
36,"FEBRERO 3585","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1881081.08,,,2016-02-29,Activo
37,"MARZO 3630","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1881081.08,,,2016-03-31,Activo
38,"ABRIL 3674","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1881081.08,,,2016-04-30,Activo
39,"MAYO 3724","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1881081.08,,,2016-05-31,Activo
40,"JUNIO 3810","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1881081.08,,,2016-06-30,Activo
41,"JULIO 3878","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1881081.08,,,2016-07-31,Activo
42,"AGOSTO 3942","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1881081.08,,,2016-08-31,Activo
43,"SEPTIEMBRE 3987","Compañía Editorial  del Sureste SA DE CV",002/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1881081.08,,,2016-09-30,Activo
44,"ENERO 056","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",64673.99,,,2016-01-31,Activo
45,"FEBRERO 057","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",64673.99,,,2016-02-29,Activo
46,"MARZO 059","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",64673.99,,,2016-03-31,Activo
47,"ABRIL 061","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",64673.99,,,2016-04-30,Activo
48,"MAYO 063","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",64673.99,,,2016-05-31,Activo
49,"JUNIO 065","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",64673.99,,,2016-06-30,Activo
50,"JULIO 067","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",64673.99,,,2016-07-31,Activo
51,"AGOSTO 070","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",64673.99,,,2016-08-31,Activo
52,"SEPTIEMBRE 072","Cesar Omar Romero Vara",003/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",64673.99,,,2016-09-30,Activo
53,"ENERO 234","Julián Eduardo Puente Sánchez",004/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",16579.24,,,2016-01-31,Activo
54,"FEBRERO 239","Julián Eduardo Puente Sánchez",004/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",16579.24,,,2016-02-29,Activo
55,"MARZO 249","Julián Eduardo Puente Sánchez",004/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",16579.24,,,2016-03-31,Activo
56,"ABRIL 260","Julián Eduardo Puente Sánchez",004/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",16579.24,,,2016-04-30,Activo
57,"MAYO 266","Julián Eduardo Puente Sánchez",004/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",16579.24,,,2016-05-31,Activo
58,"JUNIO 281","Julián Eduardo Puente Sánchez",004/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",16579.24,,,2016-06-30,Activo
59,"JULIO 293","Julián Eduardo Puente Sánchez",004/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",16579.24,,,2016-07-31,Activo
60,"AGOSTO 305","Julián Eduardo Puente Sánchez",004/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",16579.24,,,2016-08-31,Activo
61,"ENERO 1222","Organización Editorial Millastro S.A. de C.V.",005/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1160000.00,,,2016-01-31,Activo
62,"FEBRERO 1304","Organización Editorial Millastro S.A. de C.V.",005/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1160000.00,,,2016-02-29,Activo
63,"MARZO 1369","Organización Editorial Millastro S.A. de C.V.",005/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1160000.00,,,2016-03-31,Activo
64,"ABRIL 1417","Organización Editorial Millastro S.A. de C.V.",005/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1160000.00,,,2016-04-30,Activo
65,"MAYO 1463","Organización Editorial Millastro S.A. de C.V.",005/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1160000.00,,,2016-05-31,Activo
66,"JUNIO 1561","Organización Editorial Millastro S.A. de C.V.",005/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1160000.00,,,2016-06-30,Activo
67,"JULIO 1698","Organización Editorial Millastro S.A. de C.V.",005/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1160000.00,,,2016-07-31,Activo
68,"AGOSTO 1750","Organización Editorial Millastro S.A. de C.V.",005/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1160000.00,,,2016-08-31,Activo
69,"ENERO 5186","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1508000.00,,,2016-01-31,Activo
70,"FEBRERO 5280","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1508000.00,,,2016-02-29,Activo
71,"MARZO 5415","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1508000.00,,,2016-03-31,Activo
72,"ABRIL 5484","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1508000.00,,,2016-04-30,Activo
73,"MAYO 5569","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1508000.00,,,2016-05-31,Activo
74,"JUNIO 5642","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1508000.00,,,2016-06-30,Activo
75,"JULIO 5773","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1508000.00,,,2016-07-31,Activo
76,"AGOSTO 5797","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1508000.00,,,2016-08-31,Activo
77,"SEPTIEMBRE 5802","Publicidad Impresa del Sureste S.A. de C.V.",006/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1508000.00,,,2016-09-30,Activo
78,"ENERO 582","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",46400.00,,,2016-01-31,Activo
79,"FEBRERO 589","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",46400.00,,,2016-02-29,Activo
80,"MARZO 594","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",46400.00,,,2016-03-31,Activo
81,"ABRIL 600,","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",46400.00,,,2016-04-30,Activo
82,"MAYO 601","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",46400.00,,,2016-05-31,Activo
83,"JUNIO 606","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",46400.00,,,2016-06-30,Activo
84,"JULIO 639","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",46400.00,,,2016-07-31,Activo
85,"AGOSTO 671","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",46400.00,,,2016-08-31,Activo
86,"SEPTIEMBRE 697","Talina y Jonathan S.A. de C.V.",008/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",46400.00,,,2016-09-30,Activo
87,"ENERO 772","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",150800.00,,,2016-01-31,Activo
88,"FEBRERO 780","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",150800.00,,,2016-02-29,Activo
89,"MARZO 785","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",150800.00,,,2016-03-31,Activo
90,"ABRIL 788","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",150800.00,,,2016-04-30,Activo
91,"MAYO 793","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",150800.00,,,2016-05-31,Activo
92,"JUNIO 795","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",150800.00,,,2016-06-30,Activo
93,"JULIO 830","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",150800.00,,,2016-07-31,Activo
94,"AGOSTO 862","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",150800.00,,,2016-08-31,Activo
95,"SEPTIEMBRE 888","Promotora Artística Cinco Estrellas S.A. de C.V.",009/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",150800.00,,,2016-09-30,Activo
96,"Enero 025, febrero 026, marzo 027,","José Roberto López",050/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",199800.00,,,2016-03-31,Activo
97,"ENERO 071","Cecilio Paredes Soberano",052/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",8880.00,,,2016-01-31,Activo
98,"FEBRERO 073","Cecilio Paredes Soberano",052/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",8800.00,,,2016-02-29,Activo
99,"ENERO 15","Ismael Gómez Dantes",012/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",69600.00,,,2016-01-31,Activo
100,"FEBRERO 16","Ismael Gómez Dantes",012/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",69600.00,,,2016-02-29,Activo
101,"MARZO 17","Ismael Gómez Dantes",012/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",69600.00,,,2016-03-31,Activo
102,"ENERO 097","Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",46400.00,,,2016-01-31,Activo
103,"ABRIL 18","Ismael Gómez Dantes",012/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",69600.00,,,2016-04-30,Activo
104,"MAYO 19","Ismael Gómez Dantes",012/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",69600.00,,,2016-05-31,Activo
105,"JUNIO 20","Ismael Gómez Dantes",012/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",69600.00,,,2016-06-30,Activo
106,080,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",38846.67,,,2016-01-31,Activo
107,"FEBRERO 098","Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",46400.00,,,2016-02-29,Activo
108,"JULIO 21","Ismael Gómez Dantes",012/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",69600.00,,,2016-07-31,Activo
109,"MARZO 103","Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",46400.00,,,2016-03-31,Activo
110,"AGOSTO 22","Ismael Gómez Dantes",012/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",69600.00,,,2016-08-31,Activo
111,ABRIL110,"Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",46400.00,,,2016-04-30,Activo
112,082,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",38846.67,,,2016-02-29,Activo
113,"MAYO 115","Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",46400.00,,,2016-05-31,Activo
114,084,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",38846.67,,,2016-03-31,Activo
115,"ENERO 33","María Elena Montiel Mora",013/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",22200.00,,,2016-01-31,Activo
116,"JUNIO 129","Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",46400.00,,,2016-06-30,Activo
117,086,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",38846.67,,,2016-04-30,Activo
118,"FEBRERO 35","María Elena Montiel Mora",013/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",22200.00,,,2016-02-29,Activo
119,088,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",38846.67,,,2016-05-31,Activo
120,"MARZO 36","María Elena Montiel Mora",013/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",22200.00,,,2016-03-31,Activo
121,"JULIO 134","Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",46400.00,,,2016-07-31,Activo
122,095,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",38846.67,,,2016-06-30,Activo
123,"ABRIL 37","María Elena Montiel Mora",013/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",22200.00,,,2016-04-30,Activo
124,"AGOSTO 143","Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",46400.00,,,2016-08-31,Activo
125,096,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",38846.67,,,2016-07-31,Activo
126,"MAYO 39","María Elena Montiel Mora",013/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",22200.00,,,2016-06-30,Activo
127,"JUNIO 38","María Elena Montiel Mora",013/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",22200.00,,,2016-05-31,Activo
128,100,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",38846.67,,,2016-08-31,Activo
129,"SEPTIEMBRE 147","Xlalibre Multimedios S. de RL.",053/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",46400.00,,,2016-09-30,Activo
130,"JULIO 40","María Elena Montiel Mora",013/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",22200.00,,,2016-07-31,Activo
131,101,"José Joaquín Pacheco Cabrera",110/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",38846.67,,,2016-09-30,Activo
132,"ENERO 236","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",61272.00,,,2016-01-31,Activo
133,025,"Mayra Veronica Sierra García",109/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",18315.00,,,2016-01-31,Activo
134,"FEBRERO 237","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",61272.00,,,2016-02-29,Activo
135,"ENERO 119","Promovisión del Caribe S.A. de C.V.",017/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1624000.00,,,2016-01-31,Activo
136,026,"Mayra Veronica Sierra García",109/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",18315.00,,,2016-02-28,Activo
137,"MARZO 238","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",61272.00,,,2016-03-31,Activo
138,"FEBRERO 121","Promovisión del Caribe S.A. de C.V.",017/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1624000.00,,,2016-02-29,Activo
139,"MARZO 126","Promovisión del Caribe S.A. de C.V.",017/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",1624000.00,,,2016-03-31,Activo
140,027,"Mayra Veronica Sierra García",109/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",18315.00,,,2016-03-31,Activo
141,"ABRIL 239","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",61272.00,,,2016-04-30,Activo
142,028,"Mayra Veronica Sierra García",109/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",18315.00,,,2016-04-30,Activo
143,"MAYO 240","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",61272.00,,,2016-05-31,Activo
144,030,"Mayra Veronica Sierra García",109/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",,,,2016-05-31,Activo
145,"JUNIO 241","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",61272.00,,,2016-06-30,Activo
146,032,"Mayra Veronica Sierra García",109/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",18315.00,,,2016-06-30,Activo
147,033,"Mayra Veronica Sierra García",109/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",18315.00,,,2016-07-31,Activo
148,"JULIO 243","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",61272.00,,,2016-07-31,Activo
149,"ABRIL 129","Promovisión del Caribe S.A. de C.V.",017/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1624000.00,,,2016-04-30,Activo
150,039,"Carlos Alberto Rosales",111/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",44211.32,,,2016-01-31,Activo
151,"MAYO 133","Promovisión del Caribe S.A. de C.V.",017/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1624000.00,,,2016-05-31,Activo
152,040,"Carlos Alberto Rosales",111/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",44211.32,,,2016-02-29,Activo
153,"AGOSTO 244","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",61272.00,,,2016-08-31,Activo
154,"JUNIO 136","Promovisión del Caribe S.A. de C.V.",017/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",1624000.00,,,2016-06-30,Activo
155,041,"Carlos Alberto Rosales",111/2016,"Sin orden de compra",2016,"1er Trimestre (Enero-Marzo)",44211.32,,,2016-03-31,Activo
156,"AGOSTO 146","Promovisión del Caribe S.A. de C.V.",017/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1624000.00,,,2016-07-31,Activo
157,"SEPTIEMBRE 245","Juan Pablo Peraza Cárdenas",054/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",61272.00,,,2016-09-30,Activo
158,042,"Carlos Alberto Rosales",111/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",44211.32,,,2016-04-30,Activo
159,"SEPTIEMBRE 152","Promovisión del Caribe S.A. de C.V.",017/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",1624000.00,,,2016-09-30,Activo
160,043,"Carlos Alberto Rosales",111/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",44211.32,,,2016-05-31,Activo
161,044,"Carlos Alberto Rosales",111/2016,"Sin orden de compra",2016,"2o Trimestre (Abril-Junio)",44211.32,,,2016-06-30,Activo
162,045,"Carlos Alberto Rosales",111/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",44211.32,,,2016-07-31,Activo
163,046,"Carlos Alberto Rosales",111/2016,"Sin orden de compra",2016,"3er Trimestre (Julio-Septiembre)",44211.32,,,2016-08-31,Activo
