#,"Número de contrato",Procedimiento,Proveedor,Ejercicio,Trimestre,Contratante,Solicitante,"Objeto del contrato",Descripción,"Fundamento jurídico","Fecha celebración","Fecha inicio","Fecha fin","Monto original del contrato","Monto modificado","Monto total","Monto pagado a la fecha","Archivo contrato en PDF (Vinculo al archivo)",Estatus
11,0008/2016,"Adjudicación directa","Pedro Celestino Canche Herrera",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",2016-11-01,2016-11-01,2016-12-31,100000.12,0.00,100000.12,100000.12,0008-2016_PEDRO_CELESTINO_CANCHE_HERRERA.pdf,Activo
12,0010/2016,"Adjudicación directa","Talina y Jonathan S.A. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",2016-12-01,2016-12-01,2016-12-31,348000.00,0.00,348000.00,348000.00,0010-2016_TALINA_Y_JONATHANN_SA_DE_CV-FRANCISCO_JOSE_CERVERA_FERNANDEZ.pdf,Activo
13,014/2016,"Adjudicación directa","Grupo Informático Cancun Caribe  SA de CV",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-13,2016-01-01,2016-09-30,9405405.54,0.00,9405405.54,9405407.40,014-ORGANIZACION_EDITORIAL_DEL_CARIBE-JOSE_ALBERTO_GOMEZ_ALVAREZ.pdf,Activo
14,015/2016,"Adjudicación directa","Grupo Informático Cancun Caribe  SA de CV",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado.","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.o","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-13,2016-01-01,2016-09-30,9405405.54,0.00,9405405.54,9405407.40,015-ORGANIZACION_EDITORIAL_DEL_CARIBE-JOSE_ALBERTO_GOMEZ_ALVAREZ.pdf,Activo
15,016/2016,"Adjudicación directa","Grupo Informático Cancun Caribe  SA de CV",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-13,2016-01-01,2016-09-30,313200.00,0.00,313200.00,313200.00,016-ORGANIZACION_EDITORIAL_DEL_CARIBE-JOSE_ALBERTO_GOMEZ_ALVAREZ.pdf,Activo
16,104/2016,"Adjudicación directa","Render Digital Solutions S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura de  Propaganda Televisica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-27,2016-01-01,2016-09-30,3132000.00,0.00,3132000.00,3132000.00,104._RENDER_DIGITAL_SOLUTIONS_S.A._DE_C.V._-SAUL_PENA_ARELLANO.pdf,Activo
17,105/2016,"Adjudicación directa","Render Digital Solutions S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura de  Propaganda Televisica del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-27,2016-01-01,2016-09-30,3132000.00,0.00,3132000.00,3132000.00,105._RENDER_DIGITAL_SOLUTIONS_S.A._DE_C.V._-_SAUL_PENA_ARELLANO.pdf,Activo
18,054/2016,"Adjudicación directa","Juan Pablo Peraza Cárdenas",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-20,2016-01-01,2016-09-30,551448.00,0.00,551448.00,551448.00,054._JUAN_PABLO_PERAZA_CARDENAS.pdf,Activo
19,0001/2016,"Adjudicación directa","Tv Azteca  S.A.B. de C.V.",2016,"4o Trimestre (Octubre-Diciembre)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura publicitaria al Gobierno del Estado de Quintana Roo a través de diferentes medios de comunicación a solicitud de ?El Gobierno?","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","En los artículos 2,3,4,19 fracción III, 30 fracción VII y 33 fracciones XXXIII y XXXIV de la Ley Orgánica de la Administración Pública del Estado de Quintana Roo; 8 y 9 fracción VII del Reglamento Interior de la Secretaría de Finanzas y Planeación.",2016-09-25,2016-09-25,2016-10-31,5800000.00,0.00,5800000.00,5800000.00,0001-2016_TV_AZTECA_SA_B_DE_CV.pdf,Activo
20,152/2016,"Adjudicación directa","Circulo Operativo de Servicios Administrativos S. A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura de propaganda televisiva","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-21,2016-01-01,2016-10-31,2000000.00,0.00,2000000.00,2000000.00,152-Circulo_Operativo_de_Servicios_Administrativos_S.A_de_S.V.-Mauricio_Ignacio_Burgoa_Dominguez.pdf,Activo
21,070/2016,"Adjudicación directa","Lorenzo Pacheco González",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura periodística y editoriales de las actividades de Gobierno del Estado.","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-21,2016-01-01,2016-09-30,656538.03,0.00,656538.03,656538.03,070._LORENZO_PACHECO_GONZALEZ.pdf,Activo
22,198/2016,"Adjudicación directa","Pauco S. de R.L. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria de las actividades del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-10,2016-01-01,2016-09-30,675000.00,0.00,675000.00,675000.00,198-PAUCO_SA_DE_CV.pdf,Activo
23,001/2016,"Adjudicación directa","María Isabel Arvide Limón",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial.",2016-01-24,2016-01-01,2017-09-30,1666224.00,0.00,1666224.00,1666224.00,001_Maria_Isabel_362mqpvyz8w04.pdf,Activo
24,053/2016,"Adjudicación directa","Xlalibre Multimedios S. de RL.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","Difundir Actividades del Gobierno del Estado","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-20,2016-01-01,2016-09-30,417600.00,0.00,417600.00,417600.00,053-XLALIBRE_SA_DE_CV.pdf,Activo
25,055/2016,"Adjudicación directa","Silvia Guadalupe Peraza Azueta",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-20,2016-01-01,2016-09-30,720000.00,0.00,720000.00,720000.00,055._SILVIA_GUADALUPE_PERAZA_AZUETA.pdf,Activo
26,175/2016,"Adjudicación directa","Rita Iliana Bacab Chavarria",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estadoo","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-30,2016-01-01,2016-08-31,875471.68,0.00,875471.68,875471.68,175_RITA_BACB_CHAVARRIA.pdf,Activo
27,056/2016,"Adjudicación directa","Manuel Jesus Villanueva Enriquez",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-21,2016-01-01,2016-08-31,221056.56,0.00,221056.56,221056.56,056-MANUEL_JESUS_VILLANUEVA_ENRIQUEZ.pdf,Activo
28,176/2016,"Adjudicación directa","Esther Gomez Orozco",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-31,2016-01-01,2016-07-31,162400.00,0.00,162400.00,162400.00,176_ESTHER_GOMEZ.pdf,Activo
29,057/2016,"Adjudicación directa","Nicolas Lizama Lizama",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Periodístico del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-21,2016-01-01,2016-06-30,331584.90,0.00,331584.90,331584.90,057-Nicolas_Lizama_Lizama.pdf,Activo
30,177/2016,"Adjudicación directa","La Crónica Diaria S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-22,2016-01-01,2016-07-31,406000.00,0.00,406000.00,406000.00,177_LA_CRONICA_DIARIA.pdf,Activo
31,178/2016,"Adjudicación directa","Sofia Eugenia Martinez Corvera",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Periodística del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-27,2016-01-01,2016-07-31,284200.00,0.00,284200.00,284200.00,178-SOFIA_EUGENIA_MARTINEZ_CORVERA.pdf,Activo
32,058/2016,"Adjudicación directa","Jose Antonio Miranda Leal",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-20,2016-01-01,2016-06-30,66316.98,0.00,66316.98,66316.98,058._JOSE_ANTONIO_MIRANDA_LEAL.pdf,Activo
33,180/2016,"Adjudicación directa","Extreme Energy S.A. de C.V.",2016,"1er Trimestre (Enero-Marzo)","Vocero del Estado de Quintana Roo","Vocero del Estado de Quintana Roo","Cobertura Publicitaria del Gobierno del Estado","El Proveedor tiene él perfil y herramientas necesarias para dar a conocer las acciones de Gobierno del Estado.","Se crea la Unidad Administrativa denominada Vocero del Gobierno del Estado publicada en el Periódico Oficial del Gobierno del Estado, el 1 de febrero de 2002  y  lo que establecen los artículos Primero, Segundo, Séptimo Fracciones I, V, IX y X del dicho acuerdo, y artículo 8 del reglamento interior de la Unidad Administrativa Vocero del Gobierno del Estado publicado el 31 de marzo de 2005, en el Periódico Oficial",2016-01-15,2016-01-01,2016-08-31,2400000.00,0.00,2400000.00,2400000.00,180_Extreme_Energy_SA_de_CV.pdf,Activo
